Czedrog Szeląg kjcvv3
Orchidea Drożdż ggwfd2
Marta Biskup 6uojsw
Beda Korzeniowski b0srx0
Mysław Kusiak bx18st
Wenancjusz Dworak 9yonx6
Wirginia Sojka n1j5dk
Sebastiana Cichosz jivcnv
Maja Lange fdggsg
Kleopatra Jaroszewski eyk4c9
Eleonora Frankiewicz y60gap
Eliasz Wojda 3h268o
Witomir Grodzki erhe5l
Ilza Malik wekslb
Bianka Rudziński 3b3ikb
Dobromira Szweda 0xc7ng
Jaromir Ratajczyk 8431u6
Dacjusz Gajek qbmooc
Emil Śmigielski 2fq97e
Wirgiliusz Krauze 9tpgx8
Remig Lesiak vgaev8
Ciechosław Łukaszewicz wpssmc
Emerencja Mielcarek wh0q5y
Witold Maślanka v76x1y
Gliceria Kozakiewicz dr3i9r
Bończa Chmura fk24ea
Adolfina Wojtas kjuxgy
Jolanta Duszyński t1qmzn
Krzysław Jakubczyk q1hbzr
Sebastian Kapuściński awfo08
Lenart Golec 3jau4f
Blandyna Kępka 4cdjsb
Krzesława Rudzki w9hu28
Remigiusz Krasowski iovfh4
Mironiega Stachurski gibh3e
Fabia Bielski q54nfx
Judyta Podsiadło yh22h6
Jerzy Gwóźdź 2yfftz
Cyprian Salamon ngyuft
Faustyn Dymek qdz0wj
Ireneusz Gut tn818k
Hugon Kuliński yo1myt
Remigiusz Jurczak pd6x4p
Czesbor Piskorz 13wk83
Jaśmina Szymkowiak jt0qcg
Zdzislawa Bartnik 7ws2ym
Regina Sęk l8zp52
Justyn Werner paxcen
Smyslaw Maciąg 3xd4ss
Areta Dolata sklpte
Wladyslawa Górna b3e8iv
Elka Krakowski py2cf5
Bianka Kmieć i0c8kl
Dalewin Prus qpjkh5
Cyra Knap wweg86
Ismena Żyła 229kam
Luboradz Kostecki r2v3pv
Liliana Kołodziejczak 0bjn1u
Lechosława Warzecha bp0eay
Manuela Olech rnk0z2
Epifan Kuciński u31n6m
Dobroniega Trela mdnxej
Klemencja Włoch lg72o6
Konradyn Ciołek tqzojh
Jeremi Ambroziak s2rx0u
Beatrycze Roman kxugm6
Ksaweryna Brodowski p6zgfv
Balbina Kostka 69hjxv
Nadia Rudnik k13w6j
Bonawentura Puchała vx57os
Emerencja Guz nvdki1
Ładysław Adamiec w92n57
Niestoj Niedźwiecki 7y1moo
Nina Kawa jfi5ld
Jaromira Surowiec gjcdxo
Falibog Makuch zpry8j
Druzjanna Roszkowski ovj2jb
Hiacynt Stawicki id0bcx
Dobrociech Franczak 36wxps
Majka Kuźma enjh5t
Maur Borys zqn7qe
Florencjusz Tomasik vskpxg
Maura Dutkiewicz kr26td
Cibor Furman 52e8x2
Franciszek Tokarz 4kd29y
Klotylda Szczęsna jo9bdx
Radzislawa Flak wct5af
Gorazd Lenart 9xd7ja
Karolina Wach 4doo5z
Konstanty Rusek k105ne
Mojżesz Pietruszka 2v6u3x
Ariel Siwiec p9fezh
Monia Pilch z4kzdh
Narcyza Pastuszka xvv7st
Hilary Przybyszewski 3d498x
Mieczysław Zabłocki h3ktan
Elżbieta Janczak ov20yg
Dobrosław Kos n6thr8
Dalewuja Juszczyk yvneqd
Staszek Paradowski mdtgfs
Dagmara Wydra 7l5qvw
Smyslaw Pierzchała pxvykl
Ostrobod Gorczyca nas9ka
Leonard Potocki 346aew
Grzes Kaźmierski k9t74s
Tadeusz Paprocki 35zo8x
Witold Domagalski 7piuro
Olgierd Banaszek xblc8y
Patryk Pogorzelski sw3eq6
Aleksander Sekuła uv8lq8
Hiacynta Staszak l3t4aj
Agata Kujawski 304nwz
SykstuS Jarząbek ujyao0
Konradyna Bury x1jq2i
Emilian Karolak tgq45v
Łukasz Nalepa l6r5f0
Karol Bojarski r4ewyb
Miecisław Kalisz coz39q
Ziemowit Gołąbek wr8vcn
Niegodoma Tracz gsgvsz
Grześ Daniel ing9l3
Kalasanty Ossowski 4shoay
Adolfina Jóźwik u2bbwx
Wieslawa Sobczyński nv9szx
Gustaw Kruszyński 463bkc
Marcelian Szarek 9c3h54
Florentyna Jurczyk lb0htn
Ciechosława Kosowski 6g6y1u
Bożymir Osuch joc3w2
Kornel Hoffmann peshva
Aneta Banaszak 7jbd1u
Fortunat Polański 2h6cxp
Fausta Pełka t46kj9
Madzia Kwiatek ixlqge
Budzisław Piętka nq6ynj
Dawid Grudziński az9xok
Janusz Oleksy yklskw
Hubysław Szwarc owg6uh
Jerzy Szymanowski ywnako
Elżbieta Królak vygr8d
Gwidon Stachowski xymqw1
Cieszyrad Piech 5cgv3j
Olaf Ślęzak 30qcu9
Chryzant Szymaniak sdqso6
Gliceria Majka qb8dlm
Armand Sarnowski z9ir7j
Martyn Barszcz 34e3gc
Czcibora Rzepecki 1a31xx
Florenty Wiącek enfqno
Monia Kosmala 6npv4j
Bartosz Lachowicz w6nkfw
Zacheusz Mackiewicz nnki1n
Felicja Plewa wy8t17
Bądzisława Zarębski piy7xi
Jacenty Czapski l8hrqw
Heliasz Kaliński li47zc
Ludmiła Ludwiczak 88mnr7
Malkolm Kozicki kubrjf
Tymoteusz Kogut 38xode
Gośka Cyran vtr3s0
Cieszysława Adamczewski fhm5to
Nestor Kurzawa snri0b
Wit Filip g7ybdc
Bożysław Woźnica ili8fn
Hubysław Wiszniewski go7e8m
Wislaw Bartoszek cwbib7
Witomir Korczak o5lopr
Norman Kempa hudkx8
Apollonia Łoś cvdd01
Hilaria Ferenc 8nyph1
Hilary Rybka p2tqdn
Mikołaj Raczkowski tka59t
Tezeusz Kozik 10523w
Czarek Szczerba huo4hu
Eugeniusz Bogdański lymje0
Leon Olczyk hqbxfc
Lechosław Frydrych m4igj8
Danuta Krukowski 2iisbl
Wit Szopa cs11su
Gosława Budziński hegxfu
Ramona Kozera 07hkc1
Roberta Skorupski znfn0c
Cyryl Klimas xm1ah4
Bożo Sobański uin5ab
Karolina Kraszewski 991ehc
Budzisława Kulpa 99fpj2
Festus Szuba cen8jw
Gustawa Czuba j4yl0r
Druzjan Rokicki da6yy2
Leokadiusz Niezgoda vcj0xq
Hilaria Romański l5uwx4
Bazylisa Dobrzański k6d9j6
Nadar Solecki baw8ra
Danio Warchoł uvqj5d
Honoriusz Waszkiewicz pvmaou
Ewelinka Dziura ypv4xk
Hilaria Grzybek 3888xz
Ładysław Dzikowski 5w197z
Herakliusz Lorenc ok0dr0
Mariola Filipczak opg86x
Alberta Błaszczak p66yg5
Korneliusz Stokłosa sdf83k
Marlena Tkacz g8z77n
Zachary Moskal r65j98
Dobrowoj Stępniewski 62odar
Orfeusz Kasperek sbweu4
Melania Litwin 3vjqzr
Nikodem Kopacz 63x26i
Gostmił Radecki hxsjhu
Elka Bieliński 4rhsgn
Jan Białecki lhp03b
Melania Rogoziński xistxs
Gizela Bobrowski nrie1f
Maksymian Wojtowicz tn5ew5
Czcisław Izdebski x1gzkd
Ninomysł Miller 1drsj0
Patryk Kukla nktzwg
Oktawiusz Figiel tzw86l
Bolesław Jaskulski 3ktodv
Czcirad Jaros hqtz07
